6,4,19,26,58,32,35,49,12,28,17,1
6,17,19,26,58,32,35,49,12,28,24,2
6,17,24,26,58,32,35,49,12,28,59,9
6,17,24,26,58,32,35,49,12,59,60,9
6,17,24,26,58,32,35,49,12,60,45,6
6,17,24,26,58,32,45,49,12,60,43,5
6,17,24,26,58,43,45,49,12,60,35,4
6,17,24,26,35,43,45,49,12,60,50,8
35,57,60,3,39,51,50,38,2,25,52,8
35,57,60,3,39,51,50,38,52,25,45,5
35,57,60,3,39,45,50,38,52,25,49,5
35,57,60,3,39,49,50,38,52,25,48,4
35,57,60,3,48,49,50,38,52,25,7,0
7,57,60,3,48,49,50,38,52,25,32,2
7,57,32,3,48,49,50,38,52,25,34,3
7,57,32,34,48,49,50,38,52,25,17,1
7,17,32,34,48,49,50,38,52,25,51,7
7,17,32,34,48,49,50,51,52,25,57,9
33,15,35,3,6,28,47,8,14,45,54,8
32,39,41,19,26,25,22,44,49,9,58,9
32,39,41,19,26,25,22,44,49,58,55,8
32,39,41,19,26,25,22,44,55,58,47,7
32,39,41,19,26,25,22,47,55,58,54,7
32,39,41,19,26,25,22,54,55,58,3,0
3,39,41,19,26,25,22,54,55,58,18,2
3,39,18,19,26,25,22,54,55,58,44,6
3,39,18,19,26,25,44,54,55,58,59,9
3,39,18,19,26,25,44,54,55,59,27,5
3,39,18,19,26,27,44,54,55,59,25,3
3,39,18,25,26,27,44,54,55,59,24,2
3,39,24,25,26,27,44,54,55,59,8,1
31,42,50,23,58,43,53,22,52,32,18,2
31,42,18,23,58,43,53,22,52,32,40,5
31,42,18,23,58,40,53,22,52,32,33,4
31,42,18,23,33,40,53,22,52,32,27,3
31,42,18,27,33,40,53,22,52,32,26,2
31,42,26,27,33,40,53,22,52,32,25,1
31,25,26,27,33,40,53,22,52,32,20,0
20,25,26,27,33,40,53,22,52,32,46,6
20,25,26,27,33,40,46,22,52,32,54,8
20,25,26,27,33,40,46,22,54,32,51,7
20,25,26,27,33,40,46,51,54,32,57,9
49,46,43,48,19,12,8,3,5,50,54,9
49,46,43,48,19,12,8,3,5,54,33,5
49,46,43,48,19,33,8,3,5,54,36,6
49,46,43,48,19,33,36,3,5,54,42,7
49,46,43,48,19,33,36,42,5,54,12,1
49,12,43,48,19,33,36,42,5,54,30,4
49,12,43,48,30,33,36,42,5,54,35,5
49,12,43,48,30,35,36,42,5,54,14,2
49,12,14,48,30,35,36,42,5,54,8,0
8,12,14,48,30,35,36,42,5,54,40,7
8,12,14,48,30,35,36,40,5,54,38,7
8,12,14,48,30,35,36,38,5,54,20,3
8,12,14,20,30,35,36,38,5,54,32,4
8,12,14,20,32,35,36,38,5,54,48,8
43,28,29,12,24,38,50,58,54,48,27,3
43,28,29,27,24,38,50,58,54,48,6,0
24,47,44,8,38,5,39,18,13,34,23,3
24,47,44,23,38,5,39,18,13,34,37,6
24,47,44,23,38,5,37,18,13,34,48,8
24,47,44,23,38,5,37,18,48,34,19,2
24,47,19,23,38,5,37,18,48,34,39,7
24,47,19,23,38,5,37,39,48,34,53,9
24,47,19,23,38,5,37,39,48,53,41,8
24,47,19,23,38,5,37,39,41,53,13,1
24,13,19,23,38,5,37,39,41,53,54,9
24,13,19,23,38,5,37,39,41,54,50,8
24,13,19,23,38,5,37,39,50,54,3,0
